Algorithm,FileLabel,n_bytes,EncTime_sec,DecTime_sec,Trial
AES,small,2000,0.004596399999999945,6.939999999999724e-05,0
ChaCha20,small,2000,2.5500000000011624e-05,1.2099999999959365e-05,0
RSA,small,2000,0.0056418999999999775,0.03451570000000004,0
AES,small,2000,7.889999999999286e-05,5.7100000000032125e-05,1
ChaCha20,small,2000,2.0000000000020002e-05,1.1699999999947863e-05,1
RSA,small,2000,0.005787600000000004,0.04196679999999997,1
AES,small,2000,0.00010450000000006288,5.589999999999762e-05,2
ChaCha20,small,2000,1.909999999993861e-05,1.180000000000625e-05,2
RSA,small,2000,0.006338400000000077,0.034900400000000054,2
AES,small,2000,7.060000000003175e-05,5.4200000000004245e-05,3
ChaCha20,small,2000,1.7299999999997873e-05,1.1600000000000499e-05,3
RSA,small,2000,0.005734499999999976,0.03605160000000007,3
AES,small,2000,7.620000000008176e-05,5.410000000005688e-05,4
ChaCha20,small,2000,1.8200000000079264e-05,1.1500000000053134e-05,4
RSA,small,2000,0.0055987000000000675,0.03695459999999995,4
AES,medium,6000,0.0002762999999998961,0.00015119999999990696,0
ChaCha20,medium,6000,3.060000000010277e-05,2.2599999999872722e-05,0
RSA,medium,6000,0.01797430000000011,0.12730150000000018,0
AES,medium,6000,0.00026940000000008624,0.00023020000000006924,1
ChaCha20,medium,6000,5.120000000014002e-05,3.799999999998249e-05,1
RSA,medium,6000,0.020089800000000047,0.11716020000000005,1
AES,medium,6000,0.00017170000000010788,0.00015109999999984858,2
ChaCha20,medium,6000,3.1599999999798456e-05,2.4800000000047007e-05,2
RSA,medium,6000,0.01774280000000017,0.10448999999999997,2
AES,medium,6000,0.0001618999999999371,0.0001385999999998777,3
ChaCha20,medium,6000,3.0100000000032878e-05,2.2599999999872722e-05,3
RSA,medium,6000,0.01686259999999984,0.10127160000000002,3
AES,medium,6000,0.00015739999999997423,0.0001394999999999591,4
ChaCha20,medium,6000,2.9000000000056758e-05,2.269999999993111e-05,4
RSA,medium,6000,0.016703000000000134,0.10370959999999996,4
AES,large,20000,0.0005247000000001556,0.00043079999999995344,0
ChaCha20,large,20000,6.620000000001625e-05,5.860000000001975e-05,0
RSA,large,20000,0.05453039999999998,0.3343708000000001,0
AES,large,20000,0.0004596999999999518,0.00043639999999989243,1
ChaCha20,large,20000,6.720000000015602e-05,5.999999999994898e-05,1
RSA,large,20000,0.05579370000000017,0.3609448999999998,1
AES,large,20000,0.00048469999999989355,0.0004691000000001111,2
ChaCha20,large,20000,7.029999999996761e-05,6.389999999978357e-05,2
RSA,large,20000,0.056697999999999915,0.34701999999999966,2
AES,large,20000,0.0004996999999997698,0.00047320000000006246,3
ChaCha20,large,20000,7.260000000020028e-05,6.61000000001799e-05,3
RSA,large,20000,0.0629824000000001,0.35612889999999986,3
AES,large,20000,0.00046060000000025525,0.000438400000000172,4
ChaCha20,large,20000,6.65999999998057e-05,5.9599999999715436e-05,4
RSA,large,20000,0.05662939999999983,0.3493497000000003,4
